,Degree centrality,Betweenness centrality,Closensess centrality,Eigencentrality
A-PRO,1.1176470588235294,0.0035539215686274505,1.0,0.24373727012501895
NONLEX,1.1176470588235294,0.0035539215686274505,1.0,0.24373727012501886
S,1.1176470588235294,0.0035539215686274505,1.0,0.24373727012501883
V,1.1176470588235294,0.0035539215686274505,1.0,0.2437372701250188
ADV-PRO,1.1176470588235294,0.0035539215686274505,1.0,0.2437372701250188
PRAEDIC,1.1176470588235294,0.0035539215686274505,1.0,0.2437372701250188
PR,1.1176470588235294,0.0035539215686274505,1.0,0.24373727012501878
PART,1.1176470588235294,0.0035539215686274505,1.0,0.24373727012501875
S-PRO,1.1176470588235294,0.0035539215686274505,1.0,0.24373727012501875
CONJ,1.1176470588235294,0.0035539215686274505,1.0,0.24373727012501875
A,1.1176470588235294,0.0035539215686274505,1.0,0.24373727012501872
ADV,1.1176470588235294,0.0035539215686274505,1.0,0.24373727012501872
INTJ,1.0588235294117647,0.0004901960784313725,0.9444444444444444,0.23344579301807156
NUM,1.0588235294117647,0.0004901960784313725,0.9444444444444444,0.23344579301807145
ANUM,1.0,0.0,0.8947368421052632,0.22073480791390013
PARENTH,0.9411764705882353,0.0004901960784313725,0.9444444444444444,0.2207348079139
INIT,1.0,0.0,0.8947368421052632,0.2207348079139
PRAEDIC-PRO,0.8235294117647058,0.0,0.7727272727272727,0.17871842376770236
