,Degree centrality,Betweenness centrality,Closensess centrality,Eigencentrality
ADV,1.1176470588235294,0.0046600458365164245,1.0,0.24614697969718163
ADV-PRO,1.1176470588235294,0.0046600458365164245,1.0,0.24614697969718163
V,1.1176470588235294,0.0046600458365164245,1.0,0.2461469796971816
CONJ,1.1176470588235294,0.0046600458365164245,1.0,0.2461469796971816
S-PRO,1.1176470588235294,0.0046600458365164245,1.0,0.2461469796971816
NUM,1.1176470588235294,0.0046600458365164245,1.0,0.24614697969718158
PART,1.1176470588235294,0.0046600458365164245,1.0,0.24614697969718155
PR,1.1176470588235294,0.0046600458365164245,1.0,0.24614697969718155
A-PRO,1.1176470588235294,0.0046600458365164245,1.0,0.2461469796971815
A,1.1176470588235294,0.0046600458365164245,1.0,0.2461469796971815
S,1.1176470588235294,0.0046600458365164245,1.0,0.24614697969718144
PARENTH,1.0588235294117647,0.0015406162464985992,0.9444444444444444,0.2361809621187627
PRAEDIC,1.0588235294117647,0.002941176470588235,0.9444444444444444,0.23395120205906927
INTJ,1.0,0.0004901960784313725,0.8947368421052632,0.2239851844806503
NONLEX,1.0,0.0010504201680672268,0.8947368421052632,0.22318986443955624
ANUM,1.0,0.0010504201680672268,0.8947368421052632,0.22318986443955616
INIT,0.9411764705882353,0.0004901960784313725,0.85,0.2095260943301251
PRAEDIC-PRO,0.7058823529411764,0.0,0.7727272727272727,0.17121833483630797
