,Degree centrality,Betweenness centrality,Closensess centrality,Eigencentrality
PR,1.1176470588235294,0.004679756517991812,1.0,0.24777251725905775
PART,1.1176470588235294,0.004679756517991812,1.0,0.24777251725905758
NONLEX,1.1176470588235294,0.004679756517991812,1.0,0.24777251725905758
CONJ,1.1176470588235294,0.004679756517991812,1.0,0.24777251725905755
V,1.1176470588235294,0.004679756517991812,1.0,0.24777251725905747
S,1.1176470588235294,0.004679756517991812,1.0,0.24777251725905747
A-PRO,1.1176470588235294,0.004679756517991812,1.0,0.24777251725905744
ADV,1.1176470588235294,0.004679756517991812,1.0,0.24777251725905738
S-PRO,1.1176470588235294,0.004679756517991812,1.0,0.24777251725905727
ADV-PRO,1.1176470588235294,0.004679756517991812,1.0,0.24777251725905725
A,1.1176470588235294,0.004679756517991812,1.0,0.24777251725905722
NUM,1.1176470588235294,0.004679756517991812,1.0,0.2477725172590572
PRAEDIC,1.0588235294117647,0.0016160310277957336,0.9444444444444444,0.23754737256315384
INTJ,0.9411764705882353,0.0,0.85,0.21330833499450466
INIT,0.8823529411764706,0.0005252100840336134,0.8947368421052632,0.21326756656745088
PARENTH,0.8823529411764706,0.0005252100840336134,0.8947368421052632,0.21257237192908995
ANUM,0.8235294117647058,0.0,0.85,0.20075848664170853
PRAEDIC-PRO,0.7058823529411764,0.0,0.7727272727272727,0.1743620316688952
