,Degree centrality,Betweenness centrality,Closensess centrality,Eigencentrality
V,1.1176470588235294,0.006852216411039941,1.0,0.25007587121750435
ADV-PRO,1.1176470588235294,0.006852216411039941,1.0,0.2500758712175043
A-PRO,1.1176470588235294,0.006852216411039941,1.0,0.2500758712175043
CONJ,1.1176470588235294,0.006852216411039941,1.0,0.25007587121750424
PART,1.1176470588235294,0.006852216411039941,1.0,0.25007587121750424
A,1.1176470588235294,0.006852216411039941,1.0,0.25007587121750424
ADV,1.1176470588235294,0.006852216411039941,1.0,0.25007587121750424
PR,1.1176470588235294,0.006852216411039941,1.0,0.2500758712175042
PRAEDIC,1.1176470588235294,0.006852216411039941,1.0,0.2500758712175042
S-PRO,1.1176470588235294,0.006852216411039941,1.0,0.2500758712175042
S,1.1176470588235294,0.006852216411039941,1.0,0.25007587121750413
NONLEX,1.0,0.001703566041801336,0.8947368421052632,0.22713119714884286
NUM,1.0,0.001703566041801336,0.8947368421052632,0.22713119714884264
INIT,0.8823529411764706,0.0010504201680672268,0.8947368421052632,0.21514776876295516
ANUM,0.9411764705882353,0.0005252100840336134,0.85,0.21443829528139832
PARENTH,0.9411764705882353,0.0005252100840336134,0.85,0.2144382952813982
INTJ,0.8823529411764706,0.0,0.8095238095238095,0.2016977476658202
PRAEDIC-PRO,0.7647058823529411,0.0,0.7391304347826086,0.1731108741899495
