,Degree centrality,Betweenness centrality,Closensess centrality,Eigencentrality
PART,1.1176470588235294,0.005915652974476503,1.0,0.24957522956074946
A,1.1176470588235294,0.005915652974476503,1.0,0.2495752295607494
S,1.1176470588235294,0.005915652974476503,1.0,0.2495752295607494
PR,1.1176470588235294,0.005915652974476503,1.0,0.2495752295607494
V,1.1176470588235294,0.005915652974476503,1.0,0.2495752295607494
ADV,1.1176470588235294,0.005915652974476503,1.0,0.24957522956074937
CONJ,1.1176470588235294,0.005915652974476503,1.0,0.24957522956074935
A-PRO,1.1176470588235294,0.005915652974476503,1.0,0.24957522956074935
S-PRO,1.1176470588235294,0.005915652974476503,1.0,0.24957522956074935
ADV-PRO,1.1176470588235294,0.005915652974476503,1.0,0.2495752295607493
PRAEDIC,1.0588235294117647,0.0034561027208086037,0.9444444444444444,0.23842252963268928
NUM,1.0588235294117647,0.003447532859297565,0.9444444444444444,0.23785591654132027
NONLEX,1.0588235294117647,0.003447532859297565,0.9444444444444444,0.23785591654132024
INTJ,1.0,0.0023652817770464826,0.8947368421052632,0.22578671872114825
ANUM,0.8823529411764706,0.0,0.8095238095238095,0.20147906883022232
PARENTH,0.8235294117647058,0.0011312217194570137,0.85,0.20129880308165726
PRAEDIC-PRO,0.8823529411764706,0.0005252100840336134,0.8095238095238095,0.19842687884341792
INIT,0.7647058823529411,0.0,0.8095238095238095,0.18883320496118836
