,Degree centrality,Betweenness centrality,Closensess centrality,Eigencentrality
A,1.1176470588235294,0.007687165775401069,1.0,0.25079175393131525
CONJ,1.1176470588235294,0.007687165775401069,1.0,0.2507917539313152
PR,1.1176470588235294,0.007687165775401069,1.0,0.2507917539313152
S,1.1176470588235294,0.007687165775401069,1.0,0.25079175393131514
NONLEX,1.1176470588235294,0.007687165775401069,1.0,0.25079175393131514
NUM,1.1176470588235294,0.007687165775401069,1.0,0.25079175393131514
ADV-PRO,1.1176470588235294,0.007687165775401069,1.0,0.25079175393131514
A-PRO,1.1176470588235294,0.007687165775401069,1.0,0.2507917539313151
ADV,1.1176470588235294,0.007687165775401069,1.0,0.2507917539313151
S-PRO,1.1176470588235294,0.007687165775401069,1.0,0.25079175393131503
V,1.1176470588235294,0.007687165775401069,1.0,0.250791753931315
PART,1.0588235294117647,0.0036764705882352936,0.9444444444444444,0.24104567546222494
PARENTH,0.9411764705882353,0.0,0.85,0.21699083866574617
PRAEDIC,0.9411764705882353,0.0,0.85,0.2169908386657461
ANUM,0.9411764705882353,0.0,0.85,0.21699083866574603
INTJ,0.8823529411764706,0.0,0.8095238095238095,0.20235336748075233
INIT,0.8823529411764706,0.0,0.8095238095238095,0.20235336748075217
PRAEDIC-PRO,0.6470588235294118,0.0,0.7391304347826086,0.16397133055924376
