,Degree centrality,Betweenness centrality,Closensess centrality,Eigencentrality
CONJ,1.1176470588235294,0.00835561497326203,1.0,0.2534972682864781
V,1.1176470588235294,0.00835561497326203,1.0,0.25349726828647806
S,1.1176470588235294,0.00835561497326203,1.0,0.25349726828647806
ADV,1.1176470588235294,0.00835561497326203,1.0,0.253497268286478
S-PRO,1.1176470588235294,0.00835561497326203,1.0,0.253497268286478
PRAEDIC,1.1176470588235294,0.00835561497326203,1.0,0.253497268286478
A-PRO,1.1176470588235294,0.00835561497326203,1.0,0.25349726828647795
PR,1.1176470588235294,0.00835561497326203,1.0,0.25349726828647795
PART,1.1176470588235294,0.00835561497326203,1.0,0.25349726828647795
A,1.1176470588235294,0.00835561497326203,1.0,0.25349726828647795
ADV-PRO,1.1176470588235294,0.00835561497326203,1.0,0.2534972682864779
NUM,1.0,0.0018382352941176468,0.8947368421052632,0.2324598131788946
NONLEX,1.0,0.001838235294117647,0.8947368421052632,0.2317566699742663
ANUM,0.8235294117647058,0.0,0.85,0.20828360984921557
PARENTH,0.8235294117647058,0.0,0.85,0.20828360984921546
INIT,0.8235294117647058,0.0,0.7727272727272727,0.19344322581471934
INTJ,0.7058823529411764,0.0,0.7727272727272727,0.18175936086859656
PRAEDIC-PRO,0.6470588235294118,0.0,0.7391304347826086,0.16781208157607175
