,Degree centrality,Betweenness centrality,Closensess centrality,Eigencentrality
S,1.1176470588235294,0.05868930905695611,1.0,0.2765375166269617
V,1.1176470588235294,0.05868930905695611,1.0,0.2765375166269616
PR,1.0588235294117647,0.0231500933706816,0.9444444444444444,0.27278923670369987
ADV,1.0588235294117647,0.0231500933706816,0.9444444444444444,0.27278923670369987
S-PRO,1.0588235294117647,0.0231500933706816,0.9444444444444444,0.2727892367036997
CONJ,1.0588235294117647,0.04496381886087768,0.9444444444444444,0.26791880298282283
A,1.0,0.013101073762838467,0.8947368421052632,0.26417052305956096
A-PRO,1.0,0.013276143790849671,0.8947368421052632,0.26409858553907006
PRAEDIC,0.9411764705882353,0.004697712418300654,0.85,0.2554798718949313
ADV-PRO,0.9411764705882353,0.007965686274509802,0.85,0.2522341102285715
PART,0.8823529411764706,0.0006127450980392157,0.8095238095238095,0.2436153965844326
NUM,0.8823529411764706,0.0006127450980392157,0.8095238095238095,0.24361539658443254
ANUM,0.8235294117647058,0.0,0.7727272727272727,0.22917653301719543
PARENTH,0.7058823529411764,0.0,0.7727272727272727,0.21369135489840352
INIT,0.6470588235294118,0.0,0.68,0.1755910908398616
INTJ,0.4117647058823529,0.0,0.6296296296296297,0.12861933445600374
NONLEX,0.4117647058823529,0.0,0.6296296296296297,0.12755467821418
PRAEDIC-PRO,0.1764705882352941,0.0,0.5483870967741935,0.055473549674487456
